id,user_id,filename,isopen,Aesth,LoD,Useful,ts
233,674,4-short_img2img-stable_diffusion1.5.jpeg,0,2,7,6,2024-12-21 21:53:14
231,674,4-short_text2img-kreaAI.png,0,6,7,6,2024-12-21 21:52:41
267,674,4-short_text2img-lora.png,0,8,7,7,2024-12-21 22:01:55
237,674,4-short_text2img-stable_diffusion1.5.jpg,0,7,7,7,2024-12-21 21:54:34
256,674,5-long_img2img-kreaAI.png,0,7,7,6,2024-12-21 21:59:39
310,674,5-long_img2img-lora.png,0,6,8,7,2024-12-21 22:11:08
281,674,5-long_img2img-stable_diffusion1.5.jpeg,0,6,7,7,2024-12-21 22:05:01
232,674,5-long_text2img-kreaAI.png,0,8,8,8,2024-12-21 21:53:02
299,674,5-long_text2img-lora.png,0,6,4,4,2024-12-21 22:09:25
306,674,5-long_text2img-stable_diffusion1.5.jpg,0,8,8,8,2024-12-21 22:10:35
276,674,5-short_img2img-kreaAI.png,0,4,6,5,2024-12-21 22:04:02
271,674,5-short_img2img-lora.png,0,7,6,5,2024-12-21 22:02:47
274,674,5-short_img2img-stable_diffusion1.5.jpeg,0,4,6,5,2024-12-21 22:03:36
295,674,5-short_text2img-kreaAI.png,0,8,7,8,2024-12-21 22:08:08
298,674,5-short_text2img-lora.png,0,7,5,5,2024-12-21 22:09:03
254,674,5-short_text2img-stable_diffusion1.5.jpg,0,3,3,3,2024-12-21 21:59:14
303,674,6-long_img2img-kreaAI.png,0,6,8,7,2024-12-21 22:10:13
297,674,6-long_img2img-lora.png,0,3,5,5,2024-12-21 22:08:33
261,674,6-long_img2img-stable_diffusion1.5.jpeg,0,6,7,7,2024-12-21 22:00:52
301,674,6-long_text2img-kreaAI.png,0,6,7,7,2024-12-21 22:09:49
248,674,6-long_text2img-lora.png,0,5,4,4,2024-12-21 21:57:50
262,674,6-long_text2img-stable_diffusion1.5.jpg,0,7,6,6,2024-12-21 22:01:01
275,674,6-short_img2img-kreaAI.png,0,6,7,6,2024-12-21 22:03:45
263,674,6-short_img2img-lora.png,0,5,5,5,2024-12-21 22:01:13
249,674,6-short_img2img-stable_diffusion1.5.jpeg,0,3,3,2,2024-12-21 21:57:56
264,674,6-short_text2img-kreaAI.png,0,6,5,5,2024-12-21 22:01:20
258,674,6-short_text2img-lora.png,0,3,2,2,2024-12-21 22:00:18
244,674,6-short_text2img-stable_diffusion1.5.jpg,0,4,6,7,2024-12-21 21:56:49
282,674,7-long_img2img-kreaAI.png,0,3,6,6,2024-12-21 22:05:09
285,674,7-long_img2img-lora.png,0,2,6,5,2024-12-21 22:05:46
307,674,7-long_img2img-stable_diffution1.5.jpeg,0,7,8,8,2024-12-21 22:10:41
246,674,7-long_text2img-kreaAI.png,0,6,5,4,2024-12-21 21:57:19
243,674,7-long_text2img-lora.png,0,3,4,2,2024-12-21 21:56:34
239,674,7-long_text2img-stable_diffusion1.5.jpeg,0,4,9,6,2024-12-21 21:55:25
284,674,7-short_img2img-kreaAI.png,0,3,6,5,2024-12-21 22:05:32
273,674,7-short_img2img-lora.png,0,2,2,1,2024-12-21 22:03:26
270,674,7-short_img2img-stable_diffusion1.5.jpeg,0,6,7,6,2024-12-21 22:02:37
296,674,7-short_text2img-kreaAI.png,0,3,5,4,2024-12-21 22:08:17
308,674,7-short_text2img-lora.png,0,3,6,5,2024-12-21 22:10:52
247,674,7-short_text2img-stable_diffusion1.5.jpg,0,5,4,3,2024-12-21 21:57:35
563,675,1-long_img2img-kreaAI.png,0,3,3,3,2024-12-22 1:05:45
